iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
TUR,Asia,Turkey,2021-02-23,2655633.0,9107.0,7657.0,28213.0,75.0,80.143,31487.579,107.981,90.788,334.519,0.889,0.95,1.11,,,,,,,,,123734.0,32560732.0,386.069,1.467,115967.0,1.375,0.066,15.1,tests performed,7289498.0,6106522.0,1182976.0,452196.0,379816.0,8.64,7.24,1.4,4503.0,72.22,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-02-24,2665194.0,9561.0,7976.429,28285.0,72.0,78.143,31600.942,113.364,94.576,335.372,0.854,0.927,1.13,,,,,,,,,124015.0,32684747.0,387.54,1.47,116952.0,1.387,0.068,14.7,tests performed,7619695.0,6352410.0,1267285.0,330197.0,342299.0,9.03,7.53,1.5,4059.0,72.22,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-02-25,2674766.0,9572.0,8309.429,28358.0,73.0,76.714,31714.437,113.494,98.524,336.238,0.866,0.91,1.14,,,,,,,,,126527.0,32811274.0,389.04,1.5,118540.0,1.406,0.07,14.3,tests performed,7979726.0,6582239.0,1397487.0,360031.0,297776.0,9.46,7.8,1.66,3531.0,72.22,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-02-26,2683971.0,9205.0,8564.571,28432.0,74.0,75.571,31823.579,109.143,101.549,337.115,0.877,0.896,1.14,,,,,,,,,128387.0,32939661.0,390.562,1.522,120214.0,1.425,0.071,14.0,tests performed,8298805.0,6745147.0,1553658.0,319079.0,276729.0,9.84,8.0,1.84,3281.0,72.22,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-02-27,2693164.0,9193.0,8755.429,28503.0,71.0,74.286,31932.58,109.0,103.812,337.957,0.842,0.881,1.14,,,,,,,,,125716.0,33065377.0,392.053,1.491,121186.0,1.437,0.072,13.8,tests performed,8514775.0,6854642.0,1660133.0,215970.0,283038.0,10.1,8.13,1.97,3356.0,72.22,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-02-28,2701588.0,8424.0,9023.714,28569.0,66.0,72.714,32032.462,99.883,106.993,338.74,0.783,0.862,1.16,,,,,,,,,109639.0,33175016.0,393.353,1.3,122405.0,1.451,0.074,13.6,tests performed,8547875.0,6869923.0,1677952.0,33100.0,282292.0,10.14,8.15,1.99,3347.0,72.22,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-01,2711479.0,9891.0,9279.0,28638.0,69.0,71.429,32149.739,117.277,110.02,339.558,0.818,0.847,1.18,,,,,,,,,130536.0,33305552.0,394.901,1.548,124079.0,1.471,0.075,13.4,tests performed,8774718.0,6975558.0,1799160.0,226843.0,276774.0,10.4,8.27,2.13,3282.0,66.67,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-02,2723316.0,11837.0,9669.0,28706.0,68.0,70.429,32290.089,140.35,114.644,340.364,0.806,0.835,1.2,,,,,,,,,135291.0,33440843.0,396.505,1.604,125730.0,1.491,0.077,13.0,tests performed,9073640.0,7123722.0,1949918.0,298922.0,254877.0,10.76,8.45,2.31,3022.0,64.81,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-03,2734836.0,11520.0,9948.857,28771.0,65.0,69.429,32426.681,136.592,117.963,341.135,0.771,0.823,1.19,,,,,,,,,138018.0,33578861.0,398.141,1.636,127731.0,1.514,0.078,12.8,tests performed,9317546.0,7240515.0,2077031.0,243906.0,242550.0,11.05,8.59,2.46,2876.0,64.81,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-04,2746158.0,11322.0,10198.857,28839.0,68.0,68.714,32560.925,134.244,120.927,341.941,0.806,0.815,1.19,,,,,,,,,137885.0,33716746.0,399.776,1.635,129353.0,1.534,0.079,12.7,tests performed,9560038.0,7353536.0,2206502.0,242492.0,225759.0,11.34,8.72,2.62,2677.0,64.81,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-05,2757460.0,11302.0,10498.429,28901.0,62.0,67.0,32694.931,134.007,124.479,342.676,0.735,0.794,1.19,,,,,,,,,138214.0,33854960.0,401.415,1.639,130757.0,1.55,0.08,12.5,tests performed,9756289.0,7446337.0,2309952.0,196251.0,208212.0,11.57,8.83,2.74,2469.0,64.81,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-06,2769230.0,11770.0,10866.571,28965.0,64.0,66.0,32834.487,139.556,128.844,343.435,0.759,0.783,1.21,,,,,,,,,138592.0,33993552.0,403.058,1.643,132596.0,1.572,0.082,12.2,tests performed,9883607.0,7509923.0,2373684.0,127318.0,195547.0,11.72,8.9,2.81,2319.0,64.81,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-07,2780417.0,11187.0,11261.286,29030.0,65.0,65.857,32967.13,132.643,133.524,344.206,0.771,0.781,1.22,,,,,,,,,129299.0,34122851.0,404.591,1.533,135405.0,1.605,0.083,12.0,tests performed,9917348.0,7524943.0,2392405.0,33741.0,195639.0,11.76,8.92,2.84,2320.0,64.81,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-08,2793632.0,13215.0,11736.143,29094.0,64.0,65.143,33123.819,156.689,139.154,344.965,0.759,0.772,1.23,,,,,,,,,139429.0,34262280.0,406.244,1.653,136675.0,1.621,0.086,11.6,tests performed,10001980.0,7565023.0,2436957.0,84632.0,175323.0,11.86,8.97,2.89,2079.0,64.81,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-09,2807387.0,13755.0,12010.143,29160.0,66.0,64.857,33286.911,163.092,142.403,345.747,0.783,0.769,1.22,,,,,,,,,140828.0,34403108.0,407.914,1.67,137466.0,1.63,0.087,11.4,tests performed,10222994.0,7676519.0,2546475.0,221014.0,164193.0,12.12,9.1,3.02,1947.0,72.22,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-10,2821943.0,14556.0,12443.857,29227.0,67.0,65.143,33459.5,172.589,147.546,346.542,0.794,0.772,1.22,,,,,,,,,145130.0,34548238.0,409.635,1.721,138482.0,1.642,0.09,11.1,tests performed,10360283.0,7745480.0,2614803.0,137289.0,148962.0,12.28,9.18,3.1,1766.0,72.22,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-11,2835989.0,14046.0,12833.0,29290.0,63.0,64.429,33626.042,166.542,152.16,347.289,0.747,0.764,1.22,,,,,,,,,146386.0,34694624.0,411.371,1.736,139697.0,1.656,0.092,10.9,tests performed,10502494.0,7807838.0,2694656.0,142211.0,134637.0,12.45,9.26,3.2,1596.0,72.22,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2021-03-12,2850930.0,14941.0,13352.857,29356.0,66.0,65.0,33803.196,177.154,158.324,348.071,0.783,0.771,1.22,,,,,,,,,148856.0,34843480.0,413.136,1.765,141217.0,1.674,0.095,10.6,tests performed,10742277.0,7858565.0,2883712.0,239783.0,140855.0,12.74,9.32,3.42,1670.0,72.22,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
