Entity,Code,Day,new_vaccinations_smoothed_per_million
Jordan,JOR,2021-01-23,0.0267
Jordan,JOR,2021-01-24,0.0247
Jordan,JOR,2021-01-25,0.022600000000000002
Jordan,JOR,2021-01-26,0.0205
Jordan,JOR,2021-01-27,0.018500000000000003
Jordan,JOR,2021-01-28,0.0164
Jordan,JOR,2021-01-29,0.0143
Jordan,JOR,2021-01-30,0.0123
Jordan,JOR,2021-01-31,0.0123
Jordan,JOR,2021-02-01,0.013000000000000001
Jordan,JOR,2021-02-02,0.013800000000000002
Jordan,JOR,2021-02-03,0.0146
Jordan,JOR,2021-02-04,0.0154
Jordan,JOR,2021-02-05,0.0162
Jordan,JOR,2021-02-06,0.017
Jordan,JOR,2021-02-07,0.0178
Jordan,JOR,2021-02-08,0.0178
Jordan,JOR,2021-02-09,0.0178
Jordan,JOR,2021-02-10,0.0178
Jordan,JOR,2021-02-11,0.0178
Jordan,JOR,2021-02-12,0.0178
Jordan,JOR,2021-02-13,0.0178
Jordan,JOR,2021-02-14,0.0178
Jordan,JOR,2021-02-15,0.0178
Jordan,JOR,2021-02-16,0.0178
Jordan,JOR,2021-02-17,0.0178
Jordan,JOR,2021-02-18,0.0178
Jordan,JOR,2021-02-19,0.0178
Jordan,JOR,2021-02-20,0.0178
Jordan,JOR,2021-02-21,0.0178
Jordan,JOR,2021-02-22,0.0178
Jordan,JOR,2021-02-23,0.047900000000000005
Jordan,JOR,2021-02-24,0.0781
Jordan,JOR,2021-02-25,0.1082
Jordan,JOR,2021-02-26,0.10990000000000001
Jordan,JOR,2021-02-27,0.1115
Jordan,JOR,2021-02-28,0.11320000000000001
Jordan,JOR,2021-03-01,0.1149
Jordan,JOR,2021-03-02,0.0864
Jordan,JOR,2021-03-03,0.0579
Jordan,JOR,2021-03-04,0.029500000000000002
Jordan,JOR,2021-03-05,0.029500000000000002
Jordan,JOR,2021-03-06,0.029500000000000002
Jordan,JOR,2021-03-07,0.029500000000000002
Jordan,JOR,2021-03-08,0.029500000000000002
Jordan,JOR,2021-03-09,0.029500000000000002
Jordan,JOR,2021-03-10,0.029500000000000002
Jordan,JOR,2021-03-11,0.029500000000000002
Jordan,JOR,2021-03-12,0.029500000000000002
Jordan,JOR,2021-03-13,0.029500000000000002
Jordan,JOR,2021-03-14,0.029500000000000002
Jordan,JOR,2021-03-15,0.029500000000000002
Jordan,JOR,2021-03-16,0.0517
Jordan,JOR,2021-03-17,0.07390000000000001
Jordan,JOR,2021-03-18,0.0804
Jordan,JOR,2021-03-19,0.08700000000000001
Jordan,JOR,2021-03-20,0.0936
Jordan,JOR,2021-03-21,0.10010000000000001
Jordan,JOR,2021-03-22,0.11810000000000001
Jordan,JOR,2021-03-23,0.11380000000000001
Jordan,JOR,2021-03-24,0.1096
Jordan,JOR,2021-03-25,0.11960000000000001
Jordan,JOR,2021-03-26,0.1296
Jordan,JOR,2021-03-27,0.1396
Jordan,JOR,2021-03-28,0.1496
Jordan,JOR,2021-03-29,0.1482
Jordan,JOR,2021-03-30,0.1469
Jordan,JOR,2021-03-31,0.1449
Jordan,JOR,2021-04-01,0.1443
Jordan,JOR,2021-04-02,0.1437
Jordan,JOR,2021-04-03,0.1431
Jordan,JOR,2021-04-04,0.14250000000000002
Jordan,JOR,2021-04-05,0.1419
Jordan,JOR,2021-04-06,0.1413
Jordan,JOR,2021-04-07,0.1413
Jordan,JOR,2021-04-08,0.1492
Jordan,JOR,2021-04-09,0.1572
Jordan,JOR,2021-04-10,0.1652
Jordan,JOR,2021-04-11,0.1731
Jordan,JOR,2021-04-12,0.1811
Jordan,JOR,2021-04-13,0.189
Jordan,JOR,2021-04-14,0.197
Jordan,JOR,2021-04-15,0.18760000000000002
Jordan,JOR,2021-04-16,0.1781
Jordan,JOR,2021-04-17,0.16870000000000002
Jordan,JOR,2021-04-18,0.1593
Jordan,JOR,2021-04-19,0.14980000000000002
Jordan,JOR,2021-04-20,0.14800000000000002
Jordan,JOR,2021-04-21,0.1462
Jordan,JOR,2021-04-22,0.15380000000000002
Jordan,JOR,2021-04-23,0.16140000000000002
Jordan,JOR,2021-04-24,0.1689
Jordan,JOR,2021-04-25,0.17650000000000002
Jordan,JOR,2021-04-26,0.1841
Jordan,JOR,2021-04-27,0.1841
Jordan,JOR,2021-04-28,0.1841
Jordan,JOR,2021-04-29,0.1841
Jordan,JOR,2021-04-30,0.20570000000000002
Jordan,JOR,2021-05-01,0.22740000000000002
Jordan,JOR,2021-05-02,0.249
Jordan,JOR,2021-05-03,0.2706
Jordan,JOR,2021-05-04,0.2922
